UC;UC08;;
Ano;2009-2010;;
Epoca;RE;;
Data;13/7/2010;;
;;;
Numero;Freq. ;Exame ;Resultado 
1020047;11;FT ;NC 
1020055;12;8;10
1030031;17;11;13
1040026;9;9;9
1040057;13;6;9
1040001;11;FT ;NC 
1040018;10;4;6
1050075;12;FT ;NC 
1050036;10;FT ;NC 
1060086;13;2;6
1060093;10;3;6
1060013;17;6;SM 
1060032;9;3;5
1060036;14;8;10
1060040;8;4;6
1060085;9;2;5
1060094;10;10;10
1060139;8;FT ;NC 
1060029;9;3;5
1070135;12;4;7
1070020;14;9;11
1070110;11;7;9
1070120;13;5;8
1070141;11;FT ;NC 
1070153;15;8;11
1070001;12;7;9
1070044;12;14;13
1070048;12;6;8
1070059;13;8;10
1070062;15;8;11
1070073;11;4;7
1070077;16;3;8
1070121;13;8;10
1070099;16;8;11
1080098;10;5;7
1080128;12;3;7
1080161;15;8;11
1080186;12;FT ;NC 
1080175;12;5;8
1080003;11;FT ;NC 
1080010;12;10;11
1080016;14;9;11
1080029;15;8;11
1080041;8;5;6
1080011;10;11;11
1080030;9;5;7
1080042;14;9;11
1080160;8;11;10
1080053;12;9;10
1090177;9;5;7
1010003;9;5;7
1010023;12;3;7
1010034;16;FT ;NC 
1010082;10;FT ;NC 
1010088;14;8;10
